Action, games, score, coin, xp, level, staples, commons, specials
Dupe special, 3174, 12720, 754, 1979540, 117, 19, 26, 28
Dupe special, 3204, 12720, 769, 1998440, 117, 19, 26, 28
Dupe common, 3232, 12720, 808, 2016080, 118, 19, 26, 28
Bought common, 3260, 12720, 97, 2033720, 119, 19, 27, 28
Dupe special, 3298, 12720, 766, 2057660, 120, 19, 27, 28
Dupe common, 3326, 12720, 805, 2075300, 121, 19, 27, 28
Dupe common, 3353, 12720, 781, 2092310, 122, 19, 27, 28
Dupe special, 3380, 12720, 757, 2109320, 123, 19, 27, 28
Dupe common, 3410, 12720, 922, 2128220, 124, 19, 27, 28
Dupe special, 3437, 12720, 773, 2145230, 125, 19, 27, 28
Bought special, 3465, 12720, 62, 2162870, 126, 19, 27, 29
Dupe common, 3502, 12720, 793, 2186180, 127, 19, 27, 29
Dupe special, 3530, 12720, 832, 2203820, 128, 19, 27, 29
Dupe common, 3559, 12720, 809, 2222090, 129, 19, 27, 29
Dupe common, 3587, 12720, 848, 2239730, 130, 19, 27, 29
Dupe common, 3616, 12720, 800, 2258000, 130, 19, 27, 29
Dupe special, 3643, 12720, 776, 2275010, 131, 19, 27, 29
Dupe common, 3670, 12720, 752, 2292020, 132, 19, 27, 29
Bought special, 3700, 12720, 167, 2310920, 133, 19, 27, 30
Dupe common, 3737, 12720, 773, 2334230, 134, 19, 27, 30
Dupe special, 3765, 12720, 812, 2351870, 135, 19, 27, 30
Dupe special, 3792, 12720, 788, 2368880, 136, 19, 27, 30
Dupe common, 3820, 12720, 827, 2386520, 137, 19, 27, 30
Dupe special, 3849, 12720, 804, 2404790, 138, 19, 27, 30
Bought common, 3876, 12720, 30, 2421800, 139, 19, 28, 30
Bought common, 3913, 12720, 11, 2445110, 140, 19, 29, 30

